field_name,bd_value_change_sc4_nocons_allsp,bd_value_change_sc4_nocons_amphibia,bd_value_change_sc4_nocons_aves,bd_value_change_sc4_nocons_crenvu,bd_value_change_sc4_nocons_mammalia,bd_value_change_sc3_nocons_allsp,bd_value_change_sc3_nocons_amphibia,bd_value_change_sc3_nocons_aves,bd_value_change_sc3_nocons_crenvu,bd_value_change_sc3_nocons_mammalia,bd_value_change_sc2_nocons_allsp,bd_value_change_sc2_nocons_amphibia,bd_value_change_sc2_nocons_aves,bd_value_change_sc2_nocons_crenvu,bd_value_change_sc2_nocons_mammalia,bd_value_change_sc1_nocons_allsp,bd_value_change_sc1_nocons_amphibia,bd_value_change_sc1_nocons_aves,bd_value_change_sc1_nocons_crenvu,bd_value_change_sc1_nocons_mammalia,bd_value_imp_bas_nocons_nocons_allsp,bd_value_imp_bas_nocons_amphibia,bd_value_imp_bas_nocons_aves,bd_value_imp_bas_nocons_crenvu,bd_value_imp_bas_nocons_mammalia,bd_value_imp_sc4_nocons_allsp,bd_value_imp_sc4_nocons_amphibia,bd_value_imp_sc4_nocons_aves,bd_value_imp_sc4_nocons_crenvu,bd_value_imp_sc4_nocons_mammalia,bd_value_imp_sc3_nocons_allsp,bd_value_imp_sc3_nocons_amphibia,bd_value_imp_sc3_nocons_aves,bd_value_imp_sc3_nocons_crenvu,bd_value_imp_sc3_nocons_mammalia,bd_value_imp_sc2_nocons_allsp,bd_value_imp_sc2_nocons_amphibia,bd_value_imp_sc2_nocons_aves,bd_value_imp_sc2_nocons_crenvu,bd_value_imp_sc2_nocons_mammalia,bd_value_imp_sc1_nocons_allsp,bd_value_imp_sc1_nocons_amphibia,bd_value_imp_sc1_nocons_aves,bd_value_imp_sc1_nocons_crenvu,bd_value_imp_sc1_nocons_mammalia
GLR_131,0.092453997,0.089236146,-0.007307643,0.088749973,0.010525494,0.089082782,0.087214558,-0.008147774,0.086954451,0.010015998,0.074127888,0.076112792,-0.01008098,0.076197729,0.008096076,0.054461794,0.062106359,-0.013121392,0.062827743,0.005476827,0.597000341,0.320662497,0.165598834,0.244034629,0.11073901,0.629355924,0.453037345,0.117559698,0.385640255,0.058758881,0.635430999,0.459050999,0.117616589,0.391911729,0.058763411,0.625082791,0.452131971,0.115670769,0.385218042,0.057280051,0.615714379,0.446803749,0.113299542,0.380341277,0.055611088
GLR_133,-0.053818559,-0.001181964,-0.036878644,-0.000233371,-0.015757951,-0.053234988,-0.001614405,-0.036539374,-0.0000857,-0.01508121,-0.05318298,-0.001460616,-0.036468273,-0.000125493,-0.015254091,-0.052755626,-0.000961744,-0.036046537,-0.000242045,-0.015747346,0.182835176,0.005750563,0.138886583,0.001671944,0.03819803,0.064499074,0.004566312,0.048384075,0.001711062,0.011548687,0.070728145,0.004104023,0.053162665,0.002003419,0.013461457,0.067433419,0.004273342,0.050324911,0.001918825,0.012835166,0.067789143,0.004795098,0.050628252,0.001772487,0.012365794
GLR_134,-4.347237734,-1.241965681,-1.262902903,-1.419196764,-1.84236915,-4.643950067,-1.329882885,-1.344952564,-1.519615221,-1.969114617,-4.644509218,-1.329486956,-1.346051665,-1.51871054,-1.968970598,-4.648201604,-1.331115507,-1.347066314,-1.52068256,-1.970019782,5.757137488,1.626585492,1.865387879,1.773915659,2.265164116,4.510096216,1.412911938,1.058109673,1.89978373,2.039074605,4.26272056,1.382543963,0.964968883,1.797060726,1.915207714,4.194148612,1.383163133,0.927602011,1.795003587,1.883383467,4.234235848,1.386632228,0.947621758,1.800600427,1.899981861
GLR_135,-1.215594925,-0.355050506,-0.420112505,-0.352789327,-0.440431915,-1.960733112,-0.591386299,-0.669731786,-0.586803099,-0.699615027,-1.960897575,-0.591423611,-0.669830656,-0.586803658,-0.699643309,-1.960916822,-0.591428906,-0.669843718,-0.586803772,-0.699644198,2.899315105,0.891416169,1.044441709,0.841816379,0.963457227,4.305101963,1.308351501,1.606292436,1.282644548,1.390458027,3.017210339,0.862624296,1.101447136,0.916991464,1.053138907,2.86506473,0.861139076,1.039463941,0.904179343,0.964461713,2.945348277,0.871673217,1.069811595,0.91831501,1.003863466
GLR_138,-0.111009469,0.000714369,-0.085942245,-0.000594052,-0.025781593,-0.125201806,0.000268739,-0.097541898,-0.000530961,-0.027928647,-0.119021571,0.0004802,-0.092499338,-0.000553879,-0.027002433,-0.123857214,0.00088979,-0.096252342,-0.00060724,-0.028494662,0.378713613,0.013763439,0.299659002,0.002709799,0.065291172,0.203419622,0.014577696,0.16219773,0.00221885,0.026644197,0.158495611,0.014054299,0.123958363,0.002340202,0.020482949,0.184194101,0.014324891,0.145790267,0.002301194,0.024078944,0.159936772,0.014773896,0.12512426,0.002214039,0.020038615
GLR_139,-0.429918488,-0.063772838,-0.207620594,-0.074615231,-0.158525056,-0.900999939,-0.14036118,-0.425457436,-0.160999942,-0.335181323,-0.901916962,-0.140407856,-0.426326994,-0.160717224,-0.335182111,-0.900895532,-0.140295691,-0.425459129,-0.16088325,-0.335140712,1.601838019,0.27048206,0.854843398,0.241086461,0.476512561,2.56352018,0.404400624,1.380396649,0.342862685,0.778722907,1.599143316,0.242601778,0.861731984,0.198187847,0.494809555,1.48212415,0.241299565,0.813885677,0.189016914,0.426938908,1.541611109,0.245255105,0.839403643,0.195824191,0.456952362
GLR_142,-0.590642044,-0.035420322,-0.30314718,-0.100915268,-0.252074542,-1.099086525,-0.068097865,-0.557793432,-0.219256533,-0.473195229,-0.91674339,-0.055903507,-0.464527336,-0.175319395,-0.396312547,-1.024650464,-0.062764147,-0.517933963,-0.200468353,-0.443952354,1.523824806,0.105194733,0.863841303,0.275826674,0.55478877,2.073517209,0.143287894,1.161406868,0.388165946,0.768822447,0.628505015,0.068395745,0.361482744,0.120339839,0.198626526,1.406242185,0.107001694,0.766578813,0.25969611,0.532661678,0.999001539,0.086624161,0.553622209,0.184396445,0.358755168
GLR_144,-0.229924803,0.001147964,-0.181980477,-0.001762141,-0.04909229,-0.331890211,0.001039294,-0.250096174,-0.006115416,-0.08283333,-0.252331484,0.000431611,-0.197721766,-0.002687793,-0.055041329,-0.291779968,0.0000582,-0.224450405,-0.004354078,-0.067387811,0.679530624,0.025519383,0.514021854,0.009991637,0.139989387,0.64289888,0.02684393,0.49270444,0.014306372,0.12335051,0.309918427,0.02658885,0.252241646,0.003921299,0.031087931,0.675889522,0.026111349,0.504850824,0.014494534,0.144927349,0.517235305,0.025771058,0.39418498,0.009640456,0.097279267
GLR_152,-0.209088877,-0.000694558,-0.100169596,-0.024867137,-0.108224723,-0.253565839,-0.000549507,-0.120559459,-0.03096624,-0.132456873,-0.245268894,-0.000507575,-0.116397064,-0.02994733,-0.128364254,-0.238114538,-0.00049312,-0.112971614,-0.029012942,-0.124649804,0.479699683,0.01098295,0.277667063,0.044359549,0.19104967,0.510293363,0.010434191,0.303694837,0.045539456,0.196164335,0.53605823,0.010538968,0.294959181,0.043210781,0.230560081,0.509843273,0.010613383,0.290617796,0.04316766,0.208612094,0.571275084,0.010674902,0.316581383,0.048487116,0.244018799
GLR_199,-0.000453935,-0.0000882,-0.0000794,-0.0000105,-0.000286331,-0.000229794,-0.000087,-0.0000853,-0.0000115,-0.0000575,-0.000601075,-0.000087,-0.0000952,-0.0000115,-0.000418834,-0.000601075,-0.000087,-0.0000952,-0.0000115,-0.000418834,0.061893438,0.026127061,0.019217069,0.00225989,0.016549308,0.068176033,0.026832223,0.023820062,0.00244488,0.017523748,0.070397465,0.027219628,0.025493657,0.002494747,0.01768418,0.069730756,0.027147163,0.025057692,0.002484917,0.0175259,0.070562136,0.027336722,0.025445024,0.002510341,0.01778039
