cell_id,mf2050,polf2050,secf2050,susf2050
GLR_1,833.5797408138,833.5797408138,833.5797408138,833.5797408138
GLR_2,1555.08681199,1555.08681199,1555.08681199,1555.08681199
GLR_3,1306.222206384,1306.222206384,1306.222206384,1306.222206384
GLR_4,213.849452988,213.849452989,193.481700955,213.849452989
GLR_5,613.930908232,529.747697019,575.9611704731,530.0266714104
GLR_6,47.004267267,831.5044228827,1396.4587254677,831.5044228826
GLR_7,0,0,0,0
GLR_8,0,0.041048487,73.4169121921,73.4169121925
GLR_9,429.712497864,429.712497864,538.7215687905,429.712497864
GLR_10,0,0,82.9059526232,67.7221799957
GLR_11,484.6978844392,604.1746647845,481.5481209807,604.1746647841
GLR_12,0,0.5966809781,134.4178306031,60.7920693893
GLR_13,0,0,135.5510246062,0
GLR_14,0,0,9.1169777799,0
GLR_15,29.3346289123,29.3346289123,728.5413712697,164.4932638565
GLR_16,1.5576073994,1.5576073994,8.380813663,1.5576073994
GLR_17,6434.017347464,8924.2569655952,707.084876711,2180.214996905
GLR_18,0,88.5633872106,88.5633872106,88.5633872106
GLR_19,872.730118449,1156.678163216,1529.9181678153,1156.678163216
GLR_20,26.8484943935,189.6000997245,497.7156054302,273.3473134045
GLR_21,2228.811254755,3100.7207703399,912.434053472,2634.388195084
GLR_22,0,0,0,0
GLR_23,34.6671498066,141.0865846326,81.2097303614,141.0865846324
GLR_24,0,0,0,0
GLR_25,0,0.3247798525,0.000000001,0
GLR_26,0,0,0,0
GLR_27,0,0,0,0
GLR_28,0,4.2840444894,4.2840444894,4.2840444894
GLR_29,0,0,1.00044417195022E-011,1.00044417195022E-011
GLR_30,0,0,0,0
GLR_31,0,0,0,0
GLR_32,0,83.2604469414,144.6567016014,144.6567016014
GLR_33,0,245.601155284,245.6011552841,245.6011552847
GLR_34,82.8539297448,166.6992569848,166.6992569938,166.6992569888
GLR_35,0,0,0,151.426858958
GLR_36,9.493707491,194.6413052541,194.6413052541,194.6413052541
GLR_37,0,108.7665010376,108.7665010369,108.7665010372
GLR_38,0,847.4639971145,1183.4586818735,1100.4093487743
GLR_39,62.916208859,499.5818231436,1003.5044340126,499.581823145
GLR_40,66.3921851934,311.8230450648,311.8230450653,311.8230450648
GLR_41,0,436.2696872367,664.315537385,436.2696872367
GLR_42,0,87.0657263863,0,87.0657263857
GLR_43,136.29978578,265.5521935619,180.3255286972,265.5521935621
GLR_44,0,331.248668675,920.430882906,478.151442774
GLR_45,0,49.419374692,44.6360139693,50.5030198313
GLR_46,0,0,0,0
GLR_47,0,170.3087874439,170.3087874439,170.3087874439
GLR_48,0,154.4887634448,176.3412073928,176.3412073926
GLR_49,0,0,426.2049719622,0
GLR_50,0,130.8276872769,81.0967635058,130.8276872772
GLR_51,0,350.1056751888,515.8489792449,433.0074419729
GLR_52,1073.064205749,1073.064205749,1102.5727199914,1073.064205749
GLR_53,0,0,0,0
GLR_54,0,0,0,0
GLR_55,469.370271065,469.370271065,0,469.370271065
GLR_56,28.6174127335,28.6174127335,63.4175138592,28.6174127335
GLR_57,0,0,0,0
GLR_58,0,0,0,0
GLR_59,79.98001793,79.98001793,0,79.98001793
GLR_60,0,0,0,0
GLR_61,1395.5862478985,1576.2012239596,541.2908899867,541.2908899894
GLR_62,524.576073273,524.2155265901,0.3605466841,517.7150911521
GLR_63,209.322018439,0,0,3.3159729307
GLR_64,74.8246830283,2.1808922374,135.2784978163,74.8246830284
GLR_65,1376.6745512792,1317.9835900212,371.1493500891,826.2276595122
GLR_66,0,0,0,0
GLR_67,85.7478958686,85.7478958686,16.9378379874,85.7478958686
GLR_68,96.2169632282,88.3328519822,12.515987885,180.4001744414
GLR_69,52.2567780434,52.2567780434,0,52.2567780434
GLR_70,269.638924431,269.638924431,0,144.716177237
GLR_71,122.706304686,122.706304686,0,122.706304686
GLR_72,0,0,0,0
GLR_73,0,0,0,0
GLR_74,26.1305528545,26.1305528545,0,26.1305528545
GLR_75,0,95.6021202386,0,0
GLR_76,252.067012494,252.067012494,0,252.067012494
GLR_77,0,53.1378071706,0,0
GLR_78,668.474801834,1192.2862569754,0,519.6725215404
GLR_79,0,0,0,0
GLR_80,16.4498532725,16.4498532725,0,0
GLR_81,0,83.8916639443,0,0
GLR_82,268.968894365,268.968894365,0,0
GLR_83,0,0,0,0
GLR_84,1072.29114349,1072.29114349,0,1072.29114349
GLR_85,866.290407752,866.290407752,0,736.450737141
GLR_86,375.307691249,375.307691249,0,375.307691249
GLR_87,609.76153516,609.76153516,0,102.189395762
GLR_88,499.135813692,499.135813692,0,499.135813692
GLR_89,0,0,0,0
GLR_90,20.9035684918,20.9035684918,0,1.7047276538
GLR_91,1064.83807905,1102.73363328,0,897.619474896
GLR_92,0,0,0,0
GLR_93,0,0,0,0
GLR_94,89.8347877372,89.8347877372,0,89.8347877372
GLR_95,0,0,0,0
GLR_96,2.5809793204,2.5809793204,0,2.5809793204
GLR_97,0.0957070925,0.0957070925,0,0.0957070925
GLR_98,0,0,0,0
GLR_99,0,0,0,0
GLR_100,302.940434114,302.940434114,0,302.940434114
GLR_101,78.6577586414,78.6577586414,0,78.6577586414
GLR_102,195.706204496,195.706204496,0,195.706204496
GLR_103,0,0,0,0
GLR_104,0,0,0,0
GLR_105,89.0537730985,89.0537730985,0,89.0537730985
GLR_106,0,0,0,0
GLR_107,0,0,0,0
GLR_108,0,0,27.5280573424,27.5280573424
GLR_109,0,0,0,0
GLR_110,0,0,0,0
GLR_111,0,0,0,0
GLR_112,0,0,0,0
GLR_113,0,0,0,0
GLR_114,0,0,0,0
GLR_115,0,638.8862626386,1385.3318525297,1195.3230410476
GLR_116,0,0,0,0
GLR_117,0,0,0,0
GLR_118,72.6757197055,435.6826477389,498.8938075768,435.682647738
GLR_119,0,0,0,5.00008923154383E-011
GLR_120,0,80.8966089139,202.9589052382,181.5430757204
GLR_121,0,0,0,0
GLR_122,0,0,0,0
GLR_123,763.475003501,765.791740331,765.791740331,765.791740331
GLR_124,24.426657746,1578.7757506285,1738.089099066,1653.497037422
GLR_125,11.4435390575,11.4435390575,11.4435390575,11.4435390575
GLR_126,25.7779501663,25.7779501663,25.7779501663,25.7779501663
GLR_127,0,0,0,0
GLR_128,73.963564528,73.963564528,73.963564528,73.963564528
GLR_129,35.9369488908,35.9369488908,35.9369488908,35.9369488908
GLR_130,0,0,0,0
GLR_131,28.166493801,28.166493801,28.166493801,102.480911262
GLR_132,0,0,50.5920496029,50.5920496032
GLR_133,2.00088834390044E-010,847.1178234602,932.4737014174,847.1178234604
GLR_134,474.5938394238,523.9473773438,474.5938394238,474.5938394238
GLR_135,232.466053047,251.279641801,232.466053047,251.279641801
GLR_136,0,0,54.1629904931,0
GLR_137,0,0,0,0
GLR_138,0,511.4417391367,513.930125646,513.930125645
GLR_139,0,0,0,0
GLR_140,0,0,0,0
GLR_141,0,169.7303136978,252.5394064535,252.539406454
GLR_142,85.2726805363,85.272680536,85.2726805367,85.2726805363
GLR_143,0,1.3553526791,86.6280332159,1.3553526791
GLR_144,29.4586723974,272.9740120072,272.9740120113,272.9740120103
GLR_145,0,227.8875326855,227.8875326856,227.8875326863
GLR_146,0,349.4446701813,988.3062458693,563.2627722941
GLR_147,0,85.2640629763,85.2640629763,0
GLR_148,79.813324161,79.813324161,79.813324161,79.813324161
