field_name,bd_value_change_s1_2050_nocons_allsp,bd_value_change_s1_2050_nocons_amphibia,bd_value_change_s1_2050_nocons_aves,bd_value_change_s1_2050_nocons_crenvu,bd_value_change_s1_2050_nocons_mammalia,bd_value_change_s2_2050_nocons_allsp,bd_value_change_s2_2050_nocons_amphibia,bd_value_change_s2_2050_nocons_aves,bd_value_change_s2_2050_nocons_crenvu,bd_value_change_s2_2050_nocons_mammalia,bd_value_change_s3_2050_nocons_allsp,bd_value_change_s3_2050_nocons_amphibia,bd_value_change_s3_2050_nocons_aves,bd_value_change_s3_2050_nocons_crenvu,bd_value_change_s3_2050_nocons_mammalia,bd_value_change_s4_2050_nocons_allsp,bd_value_change_s4_2050_nocons_amphibia,bd_value_change_s4_2050_nocons_aves,bd_value_change_s4_2050_nocons_crenvu,bd_value_change_s4_2050_nocons_mammalia,bd_value_imp_bas_nocons_nocons_allsp,bd_value_imp_bas_nocons_amphibia,bd_value_imp_bas_nocons_aves,bd_value_imp_bas_nocons_crenvu,bd_value_imp_bas_nocons_mammalia,bd_value_imp_s1_2050_nocons_allsp,bd_value_imp_s1_2050_nocons_amphibia,bd_value_imp_s1_2050_nocons_aves,bd_value_imp_s1_2050_nocons_crenvu,bd_value_imp_s1_2050_nocons_mammalia,bd_value_imp_s2_2050_nocons_allsp,bd_value_imp_s2_2050_nocons_amphibia,bd_value_imp_s2_2050_nocons_aves,bd_value_imp_s2_2050_nocons_crenvu,bd_value_imp_s2_2050_nocons_mammalia,bd_value_imp_s3_2050_nocons_allsp,bd_value_imp_s3_2050_nocons_amphibia,bd_value_imp_s3_2050_nocons_aves,bd_value_imp_s3_2050_nocons_crenvu,bd_value_imp_s3_2050_nocons_mammalia,bd_value_imp_s4_2050_nocons_allsp,bd_value_imp_s4_2050_nocons_amphibia,bd_value_imp_s4_2050_nocons_aves,bd_value_imp_s4_2050_nocons_crenvu,bd_value_imp_s4_2050_nocons_mammalia
GLR_131,-0.0943274474,-0.0628214073,-0.0106373135,-0.0658391313,-0.0208687266,-0.0976171277,-0.0647501651,-0.0114742398,-0.0675446112,-0.0213927229,-0.1121241072,-0.0753079782,-0.0134180322,-0.0777613594,-0.0233980968,-0.1306490077,-0.0879436574,-0.0165781984,-0.0896904316,-0.0261271519,0.5967620189,0.3117884242,0.1685953203,0.2380980186,0.1163782744,0.7499833992,0.3896962096,0.2210758083,0.2949875695,0.1392113813,0.7524797891,0.3904058543,0.2220379674,0.2956201855,0.1400359675,0.7620365622,0.3827540567,0.2316349797,0.2874249776,0.1476475258,0.7447508957,0.3689060727,0.2292552002,0.2739440988,0.1465896228
GLR_133,-0.1331853212,-0.0005983248,-0.101148156,-0.0003783799,-0.0314388404,-0.1331672707,-0.0005099748,-0.1011157717,-0.0004020876,-0.0315415242,-0.133085227,-0.0001084037,-0.1009685774,-0.0005098446,-0.0320082459,-0.1329729665,0.000441067,-0.1007671712,-0.0006572887,-0.0326468623,0.1951144701,0.0054822675,0.1479937873,0.0017962103,0.0416384153,0.0881611069,0.0047974492,0.0684030693,0.0016673277,0.0149605884,0.0879910036,0.0048946444,0.0682220607,0.0016211944,0.0148742985,0.091921174,0.005286264,0.0712819909,0.0015277756,0.0153529191,0.0911862332,0.0058433238,0.070604665,0.0013387662,0.0147382445
GLR_134,-2.2269752218,-0.6323542283,-0.662943889,-0.7121343588,-0.9316771045,-2.2883020853,-0.6513738323,-0.6791408184,-0.7336191085,-0.9577874346,-2.5708665348,-0.738312624,-0.7547695444,-0.8314603428,-1.0777843663,-2.5736672146,-0.73937021,-0.7558304641,-0.8325884049,-1.0784665404,5.4648977696,1.5870583624,1.7426409648,1.7024193073,2.1351984424,5.4385790675,1.5614746555,1.9339458047,1.4940898713,1.9431586074,5.3972072859,1.5534623698,1.9198569369,1.4782990096,1.9238879792,5.2250462761,1.5058847621,1.8735635252,1.3925068265,1.8455979888,5.2443943493,1.5107090546,1.8809540421,1.3967255213,1.8527312526
GLR_135,-1.5487450248,-0.4652377953,-0.5270689022,-0.4788266481,-0.5564383273,-1.5932736559,-0.4795293812,-0.5416095162,-0.4933454027,-0.5721347586,-1.6791859007,-0.5067612885,-0.5701091973,-0.521102767,-0.6023154149,-1.6789432094,-0.5067358385,-0.5699907201,-0.5210401788,-0.6022166508,3.0337814392,0.9323979832,1.0877605261,0.8996061397,1.0136229299,2.6730587458,0.7678027269,1.056688414,0.6932388019,0.8485676049,2.6189006549,0.7503261804,1.0361986289,0.6777559128,0.8323758456,2.6223698243,0.7275686934,1.0443691673,0.6676503149,0.8504319636,2.6370808808,0.7337046991,1.0483737854,0.6726823949,0.8550023964
GLR_138,-0.3043470876,0.0017163618,-0.242219741,-0.0009104018,-0.0638437084,-0.3043478873,0.0010874687,-0.2424398625,-0.0008267691,-0.0629954936,-0.3066365,0.0014961406,-0.2441447207,-0.0008826132,-0.0639879199,-0.3064633634,0.0020765786,-0.2438023907,-0.0009596894,-0.0647375514,0.4510457145,0.0125868864,0.3568553598,0.0030369104,0.0816034683,0.185773642,0.0140910737,0.1475521074,0.0022361837,0.0241304609,0.1885953248,0.0134926993,0.1497190136,0.0023639509,0.0253836119,0.1859630773,0.013869443,0.1470983925,0.0023092363,0.0249952418,0.1849269766,0.0144696538,0.1461654557,0.0021994568,0.0242918671
GLR_139,-0.914870627,-0.1347240009,-0.4444256294,-0.1515169659,-0.3357209967,-0.9337238514,-0.1384538653,-0.4533670815,-0.155910051,-0.3419029047,-1.020441155,-0.1524058033,-0.4929802031,-0.1724355055,-0.3750551486,-1.0211289396,-0.1528605884,-0.4931154585,-0.1730432533,-0.3751528927,1.7341073734,0.2869400251,0.92706844,0.2575782582,0.5200989083,1.267486644,0.2134582699,0.7089967207,0.1753032878,0.3450316534,1.245803558,0.208905704,0.6979900958,0.1707131103,0.3389077582,1.1166949929,0.1873930535,0.6321575508,0.1491860147,0.2971443886,1.1233987601,0.1887058473,0.6357457911,0.1500330769,0.2989471217
GLR_142,-0.7566439327,-0.0462735065,-0.3751702785,-0.1667449387,-0.3352001477,-0.817586109,-0.0501517656,-0.4055991883,-0.1805682037,-0.361835155,-1.0164007295,-0.0627044673,-0.5043336852,-0.225493421,-0.449362577,-1.0147334021,-0.0626198918,-0.5034944503,-0.2251396294,-0.44861906,1.4346029729,0.0998919907,0.8072068885,0.282730145,0.5275040937,1.1050741064,0.082610707,0.6382616441,0.2018755008,0.3842017553,0.9779129114,0.0757687415,0.5699348395,0.1774217992,0.3322093304,0.5254921284,0.0522236821,0.3276200465,0.0916223753,0.1456483997,0.534045747,0.0527731291,0.3324908857,0.0936806922,0.1487817322
GLR_144,-0.336432833,0.0011561196,-0.2569660327,-0.0054172141,-0.0806229199,-0.3387917472,-0.0003570699,-0.2602064454,-0.0054520275,-0.0782282318,-0.3581269214,-0.0002974641,-0.2730599455,-0.0062806417,-0.0847695118,-0.3581184621,-0.0002359328,-0.2729866186,-0.0062829625,-0.0848959107,0.7086560767,0.0249919806,0.5358729397,0.0101869076,0.1477911563,0.3637953786,0.0257761902,0.2919466181,0.0056690263,0.0460725702,0.366761712,0.0243337736,0.293471358,0.005694863,0.0489565803,0.3147187702,0.024343945,0.2555598454,0.0040800747,0.0348149799,0.3161522335,0.0244525798,0.2566524087,0.00412432,0.035047245
GLR_152,-0.1848666164,-0.0006468227,-0.0856584152,-0.0213607455,-0.0985613785,-0.1890764083,-0.0006408612,-0.0876568296,-0.021915355,-0.1007787174,-0.2636688734,-0.0005499878,-0.1230158176,-0.0317630117,-0.140103068,-0.2633605937,-0.0005823838,-0.1227600592,-0.0317671059,-0.1400181508,0.4915914267,0.0108558117,0.282923936,0.045430501,0.197811679,0.5216304515,0.0101953813,0.3063290616,0.0465195893,0.2051060086,0.5195238412,0.0102166054,0.3044665787,0.0463166167,0.204840657,0.3690613411,0.0102689843,0.2273922798,0.028432604,0.131400077,0.3713535896,0.0102703937,0.2287731796,0.0285135788,0.1323100163
GLR_199,-0.0009404773,-7.67049261882403E-005,-0.0001028914,-1.12506831006176E-005,-0.0007608811,-0.0009708532,-7.30052918621106E-005,-0.0001392587,-1.3395101590196E-005,-0.0007585891,-0.0009058731,-8.39158937381855E-005,-0.0001088596,-1.2188495905145E-005,-0.0007130976,-0.0009058731,-8.39158937381855E-005,-0.0001088596,-1.2188495905145E-005,-0.0007130976,0.0626280189,0.0260151224,0.0197440811,0.0022429933,0.0168688153,0.0673572205,0.0266791173,0.0240957244,0.0023561728,0.0165823789,0.0672074354,0.0266979786,0.0240154523,0.0023566765,0.0164940045,0.0691146639,0.0270736835,0.024990305,0.0024044718,0.0170506754,0.0699226298,0.0273059531,0.0253120819,0.0024248951,0.0173045947
