field_name,ef_value_imp_bas_nocons_comprov,ef_value_imp_bas_nocons_wildprov,ef_value_imp_bas_nocons_regprov,ef_value_imp_bas_nocons_totef,ef_value_imp_s1_2050_nocons_comprov,ef_value_imp_s1_2050_nocons_wildprov,ef_value_imp_s1_2050_nocons_regprov,ef_value_imp_s1_2050_nocons_totef,ef_value_change_s1_2050_nocons_comprov,ef_value_change_s1_2050_nocons_wildprov,ef_value_change_s1_2050_nocons_regprov,ef_value_change_s1_2050_nocons_totef,ef_value_imp_s2_2050_nocons_comprov,ef_value_imp_s2_2050_nocons_wildprov,ef_value_imp_s2_2050_nocons_regprov,ef_value_imp_s2_2050_nocons_totef,ef_value_change_s2_2050_nocons_comprov,ef_value_change_s2_2050_nocons_wildprov,ef_value_change_s2_2050_nocons_regprov,ef_value_change_s2_2050_nocons_totef,ef_value_imp_s3_2050_nocons_comprov,ef_value_imp_s3_2050_nocons_wildprov,ef_value_imp_s3_2050_nocons_regprov,ef_value_imp_s3_2050_nocons_totef,ef_value_change_s3_2050_nocons_comprov,ef_value_change_s3_2050_nocons_wildprov,ef_value_change_s3_2050_nocons_regprov,ef_value_change_s3_2050_nocons_totef,ef_value_imp_s4_2050_nocons_comprov,ef_value_imp_s4_2050_nocons_wildprov,ef_value_imp_s4_2050_nocons_regprov,ef_value_imp_s4_2050_nocons_totef,ef_value_change_s4_2050_nocons_comprov,ef_value_change_s4_2050_nocons_wildprov,ef_value_change_s4_2050_nocons_regprov,ef_value_change_s4_2050_nocons_totef
GLR_131,0.002926848,0.001915499,0.00376396,0.008606307,0.00294655,0.00161284,0.005456661,0.010016051,0.000329498,-0.0000983,-0.000132565,0.0000987,0.002916621,0.0016196,0.005477692,0.010013914,0.000299258,-0.0000983,-0.000132565,0.0000684,0.002786069,0.001779436,0.006272049,0.010837554,0.000232943,-0.0000983,-0.000132565,0.00000211,0.002723075,0.001786645,0.006539045,0.011048765,0.000126896,-0.000101616,-0.000144735,-0.000119455
GLR_133,0.003182323,0.005851908,0.015732595,0.024766826,0.003988441,0.002499355,0.001817053,0.008304849,0.001225457,-0.003035815,-0.014540648,-0.016351006,0.003961527,0.002549092,0.001824131,0.00833475,0.001199564,-0.002991764,-0.014540648,-0.016332847,0.003651923,0.003200643,0.002092594,0.00894516,0.000959466,-0.002583283,-0.014540648,-0.016164465,0.003294212,0.003969537,0.002190134,0.009453883,0.000511912,-0.001821854,-0.014540648,-0.015850591
GLR_134,0.005934252,0.015627291,0.040825898,0.062387442,0.011046665,0.012273413,0.031969304,0.055289382,0.006273843,-0.001808377,-0.019413447,-0.014947981,0.011087692,0.012213307,0.031545021,0.054846019,0.006329962,-0.001933232,-0.019787022,-0.015390292,0.011017687,0.012818656,0.032940321,0.056776663,0.006561339,-0.002538996,-0.021667675,-0.017645332,0.011104819,0.012894094,0.034442073,0.058440986,0.006519048,-0.002538996,-0.021667675,-0.017687623
GLR_135,0.00136637,0.008768367,0.024358758,0.034493495,0.00372486,0.006644983,0.017514127,0.02788397,0.002750117,-0.00128299,-0.012615469,-0.011148342,0.003758698,0.00657247,0.017082331,0.027413499,0.002791166,-0.001393892,-0.012956521,-0.011559246,0.003752991,0.00698169,0.018462133,0.029196814,0.002890044,-0.001638385,-0.01359438,-0.012342721,0.003796448,0.007024668,0.0193081,0.030129217,0.002891089,-0.001636607,-0.013589626,-0.012335144
GLR_138,0.007551729,0.011679862,0.030241525,0.049473116,0.005231858,0.007754389,0.004132636,0.017118883,-0.001769801,-0.002942777,-0.027561279,-0.032273856,0.005629168,0.00711282,0.004188141,0.016930129,-0.001325246,-0.003699101,-0.027534635,-0.032558983,0.00579327,0.007241876,0.004256003,0.01729115,-0.000981354,-0.004284168,-0.027878466,-0.033143987,0.005549079,0.0078669,0.004464115,0.017880094,-0.001328814,-0.003693031,-0.027878466,-0.032900311
GLR_139,0.006829409,0.011884404,0.028272652,0.046986464,0.004722828,0.011206232,0.015565778,0.031494839,-0.001610029,0.000661078,-0.018008255,-0.018957206,0.004643254,0.011248882,0.015290758,0.031182895,-0.001693455,0.000660209,-0.018237611,-0.019270857,0.004862146,0.011533009,0.015350353,0.031745507,-0.001315058,-0.000127565,-0.019573144,-0.021015767,0.004911962,0.01161993,0.01610902,0.032640912,-0.001320977,-0.000106369,-0.019558264,-0.02098561
GLR_142,0.00630032,0.011612922,0.02439004,0.042303283,0.005950127,0.010372247,0.017134049,0.033456423,0.000275395,-0.000258561,-0.012987301,-0.012970468,0.006037562,0.010205384,0.015739223,0.031982169,0.000377892,-0.000484275,-0.013986634,-0.014093017,0.006475115,0.009760318,0.01242644,0.028661872,0.001043361,-0.001733779,-0.017372935,-0.018063353,0.006534187,0.009850651,0.013068648,0.029453487,0.001027327,-0.001691828,-0.017346283,-0.018010785
GLR_144,0.014003509,0.015615955,0.038899768,0.068519232,0.009718813,0.013006131,0.006692016,0.02941696,-0.003262874,-0.001017123,-0.034564188,-0.038844185,0.010565818,0.011624208,0.006533007,0.028723034,-0.002316544,-0.002627122,-0.034691495,-0.03963516,0.010830151,0.011740386,0.005648296,0.028218833,-0.00172061,-0.003640989,-0.035836393,-0.041197992,0.011707573,0.010389994,0.005937101,0.028034668,-0.000874261,-0.005080888,-0.035836393,-0.041791543
GLR_152,0.004434579,0.007110598,0.017012081,0.028557258,0.003269373,0.008061702,0.012744459,0.024075534,-0.000821469,0.001895778,-0.008502448,-0.007428139,0.003264666,0.008096444,0.012583392,0.023944502,-0.000823497,0.001899229,-0.008646031,-0.007570299,0.003805675,0.007667889,0.010170699,0.021644263,-0.000118414,0.000699666,-0.011194996,-0.010613744,0.003824526,0.007756783,0.010647958,0.022229268,-0.000145633,0.000745973,-0.011194996,-0.010594656
GLR_199,0.0000557,0.042767022,0.040781054,0.083603799,0.0000426,0.043225752,0.056557512,0.099825902,-0.0000086,-0.000199406,-0.000336789,-0.000544797,0.0000287,0.043242814,0.056721305,0.099992778,-0.000024,-0.000191066,-0.000353826,-0.000568915,0.0000416,0.04326382,0.063464988,0.106770359,-0.0000086,-0.00021731,-0.000353826,-0.000579733,0.000042,0.043360173,0.065862256,0.109264451,-0.0000086,-0.00021731,-0.000353826,-0.000579733
